,Demographic,1998-1,1998-2,1998-3,1998-4,1998-5,1998-6,1998-7,1998-8,1998-9,1998-10,1998-11,1998-12,1999-1,1999-2,1999-3,1999-4,1999-5,1999-6,1999-7,1999-8,1999-9,1999-10,1999-11,1999-12,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,,
0,AGE 0-4,2635,2861,1073,318,230,0,0,0,0,465,1480,1319,2844,3621,2144,531,348,0,0,0,0,1273,1837,3119,5237,2223,1527,865,239,0,0,0,0,1277,2305,3886,5067,4592,2314,1404,432,0,0,0,0,2037,2576,3332,2689,6115,4863,1518,772,0,0,0,0,1907,3289,4248,4165,5958,5662,2139,1167,1015,466,627,624,2734,8501,21035,12127,6618,3293,2239,2180,1330,979,1231,1224,4711,5845,6615,11396,14266,10286,5701,4491,2394,1973,1272,1350,5670,6547,8782,12264,10743,9368,6110,2904,2303,2495,1895,1847,6313,8327,15116,11392,14903,10531,6947,3462,2469,2197,1644,2855,10028,13686,17770,10794,21814,22351,8963,5833,6253,3557,3765,3489,6248,11483,12527,14455,18557,20054,10130,20661,11859,7035,9865,16707,38990,52181,26038,27205,21740,16581,12536,14165,8562,6288,7054,7268,13845,16392,23700,35554,32242,21830,14193,12544,7705,6644,5142,6754,15448,15631,17827,22946,20769,19627,16281,10043,9306,9562,7207,10736,12281,15744,37289,25374,25096,22960,13163,9880,10168,6305,5363,8612,12126,17052,27377,27542,19950,19392,13809,10680,12030,7254,7462,8272,11977,20528,28311,34979,25740,23149,14707,14461,7951,6094,7253,7521,11298,18384,19556,24941,23076,24040,15375,14100,9089,8379,6459,8065,16080,19028,23107,33805,30937,23000,19845,10667,8702,8169,6655,9065,37602,50340,88608,89736,107110,48774,41996,27692,21508,19128,15138,29510,22057,30806,52985,30758,50538,57156,29329,20505,19542,10035,9228,18530,25037,38553,73741,77842,76536,67982,10052,4532,3494,5814,8209,7712,9632,13168,10138,12414,10057,13325,19847,36828,33649,36653,57301,45638,61721,57502,64928,70214,26458,33978,43238,70628,54692,49690,37325,53364,34498,,
1,AGE 25-49,1658,1986,674,233,144,0,0,0,0,384,988,878,3339,4481,2608,537,231,0,0,0,0,791,1538,4412,7834,1577,751,486,156,0,0,0,0,1238,1844,3887,5268,4544,1882,1245,414,0,0,0,0,1501,2044,2518,1875,4016,3943,1065,429,0,0,0,0,1180,2284,2885,2781,3867,4131,1510,819,563,352,437,339,1612,5317,14073,8006,3285,2022,1355,1222,749,582,780,773,3133,3606,4383,10180,15642,9355,3879,2489,1336,1103,753,794,2888,3587,5292,8669,7784,7181,4117,1637,1203,1400,1039,1008,3327,3735,7293,5980,8287,6854,4520,1871,1274,1262,1007,1668,3817,4769,6831,6452,21285,25270,7380,3213,2923,1798,2171,2140,3829,6644,5406,6616,11985,13247,5510,15054,9322,5113,7070,13895,37314,41131,13773,14581,10817,9988,6705,6782,4153,3256,4147,4447,8377,8307,11231,24177,27030,14624,7308,6059,3831,3729,2920,3939,8331,7998,8142,11526,10943,12116,10721,6295,4826,4924,4219,7106,7685,9755,31046,29533,23376,19119,9577,5919,5664,3509,3441,5610,7274,9873,21473,33571,22597,17964,11868,8473,7474,4548,5599,5762,8216,12294,20107,31727,20403,18395,10399,9235,4991,4163,5372,5439,8128,12304,11752,16882,20002,24761,15122,11560,5629,5225,4249,5574,10554,10286,14104,27609,31645,23859,17296,7832,5664,5097,4434,5952,23434,29970,76630,126184,136506,52612,38336,18260,13620,13528,10918,21140,16958,19621,37852,31874,55972,65939,27289,15693,14414,7838,7724,14571,19405,27310,59343,97319,108798,129707,54794,24703,15176,28812,25598,15853,21244,34574,29453,31986,16650,15477,19608,22213,15290,22858,52434,33296,33328,31489,58818,116534,20862,21941,30166,49272,37856,40987,27927,27551,16878,,0.714417722
2,AGE 25-64,2321,2780,943,326,202,0,0,0,0,538,1383,1229,4674,6272,3650,752,324,0,0,0,0,1107,2153,6175,10966,2207,1051,680,218,0,0,0,0,1733,2581,5441,7374,6360,2635,1742,580,0,0,0,0,2101,2861,3525,2625,5622,5519,1491,600,0,0,0,0,1652,3197,4038,3892,5413,5782,2114,1146,788,493,612,474,2257,7442,19699,11206,4598,2830,1896,1710,1049,814,1092,1082,4385,5047,6135,14249,21895,13095,5429,3484,1870,1544,1054,1111,4042,5021,7407,12134,10896,10052,5763,2292,1684,1959,1454,1411,4657,5228,10208,8370,11599,9594,6327,2619,1783,1766,1410,2335,5343,6676,9561,9031,29793,35372,10330,4498,4091,2517,3039,2995,5360,9300,7567,9260,16776,18543,7713,21072,13049,7157,9896,19449,6090,52449,18719,20345,14983,13988,9205,9255,5726,4546,5695,6013,11471,11294,15332,32409,35396,19938,10132,8489,5373,5161,3900,5260,11396,10905,11385,16043,14937,16440,14630,8608,6569,6761,5784,9629,10663,13479,42791,41638,32552,26521,13488,8201,8057,4906,4756,7760,10107,13562,29030,46714,31687,25365,17006,12081,10566,6317,7638,7789,11276,16816,27680,45593,29270,26569,15242,13170,7151,5854,7483,7544,11514,17116,16742,24265,28496,34826,21641,16237,7990,7329,5828,7692,14859,14562,20284,41013,45821,34831,25249,11362,8199,7462,6190,8435,33394,42768,112290,188430,199356,77866,56464,26142,19772,19378,15300,29350,23775,27396,53638,46139,78052,93022,39050,22277,20331,11101,10699,19686,26662,37088,78521,129748,145578,179006,84542,37222,22486,42015,37711,22959,31130,51165,45322,50077,25135,23162,28534,31245,21561,31813,74021,46987,47592,44947,81551,161627,30173,30288,41154,68170,53261,58726,39409,38155,23358,,
3,AGE 5-24,3629,5021,1592,502,326,0,0,0,0,759,2336,1699,5673,10037,4102,970,420,0,0,0,0,1362,2268,4763,7868,2867,1559,1063,297,0,0,0,0,2232,3444,6444,11274,10414,3455,1945,694,0,0,0,0,2686,3253,3875,3254,9121,8258,2514,1196,0,0,0,0,2555,4679,5844,5050,15733,11365,3200,1706,972,454,659,704,3381,16001,34151,11586,6581,3357,2261,2067,1141,868,1242,1496,6216,7144,7989,16471,31663,16121,6942,5283,2286,1894,1313,1662,6111,7367,10760,14644,19009,17977,10928,3980,2043,2146,1710,2018,7639,9546,17439,13169,25848,17704,9041,3844,2072,1877,1564,3196,9769,12222,13831,11112,49294,41195,10459,5784,4846,3024,3672,4293,8168,13371,10928,12351,36550,37742,13306,44639,22715,10096,19065,55999,115646,111721,25118,23035,23462,19529,12820,13259,7566,5892,7127,8453,16510,18543,25110,46413,64093,31114,16208,12211,6761,6309,5306,8060,17538,16707,15627,19045,22875,25183,21768,13237,8951,8668,7307,13338,16199,20480,56182,38524,46303,37265,16941,11966,9571,5966,5452,10530,14537,19188,31923,31609,32000,28204,21337,14232,12066,6849,8077,11408,16606,28994,45422,49272,43744,33231,18482,18010,8596,6483,8564,10152,14806,22805,19882,26129,35239,41094,26747,21088,9009,8295,7413,11626,20802,20657,25660,48993,73624,45533,33354,14514,9022,7826,7206,11231,42267,52514,105854,163192,256760,84700,59084,32282,19892,18084,16382,35960,26909,32015,54300,34595,98209,108611,43319,24264,21038,11075,10127,23475,29709,45639,99335,109820,161814,125685,19267,10666,8687,15631,16779,15017,19003,26504,18468,19565,14438,15126,18785,26793,18732,23168,53392,48290,58523,61121,85786,96789,32177,45683,60676,97345,52377,41192,37911,58406,34818,,
4,AGE 50-64,663,794,269,93,58,0,0,0,0,154,395,351,1335,1791,1042,215,93,0,0,0,0,316,615,1763,3132,630,300,194,62,0,0,0,0,495,737,1554,2106,1816,753,497,166,0,0,0,0,600,817,1007,750,1606,1576,426,171,0,0,0,0,472,913,1153,1111,1546,1651,604,327,225,141,175,135,645,2125,5626,3200,1313,808,541,488,300,232,312,309,1252,1441,1752,4069,6253,3740,1550,995,534,441,301,317,1154,1434,2115,3465,3112,2871,1646,655,481,559,415,403,1330,1493,2915,2390,3312,2740,1807,748,509,504,403,667,1526,1907,2730,2579,8508,10102,2950,1285,1168,719,868,855,1531,2656,2161,2644,4791,5296,2203,6018,3727,2044,2826,5554,8103,11318,4946,5764,4166,4000,2500,2473,1573,1290,1548,1566,3094,2987,4101,8232,8366,5314,2824,2430,1542,1432,980,1321,3065,2907,3243,4517,3994,4324,3909,2313,1743,1837,1565,2523,2978,3724,11745,12105,9176,7402,3911,2282,2393,1397,1315,2150,2833,3689,7557,13143,9090,7401,5138,3608,3092,1769,2039,2027,3060,4522,7573,13866,8867,8174,4843,3935,2160,1691,2111,2105,3386,4812,4990,7383,8494,10065,6519,4677,2361,2104,1579,2118,4305,4276,6180,13404,14176,10972,7953,3530,2535,2365,1756,2483,9960,12798,35660,62246,62850,25254,18128,7882,6152,5850,4382,8210,6817,7775,15786,14265,22080,27083,11761,6584,5917,3263,2975,5115,7257,9778,19178,32429,36780,49299,29748,12519,7310,13203,12113,7106,9886,16591,15869,18091,8485,7685,8926,9032,6271,8955,21587,13691,14264,13458,22733,45093,9311,8347,10988,18898,15405,17739,11482,10604,6480,,
5,AGE 65,619,694,327,107,68,0,0,0,0,116,329,336,828,914,702,137,62,0,0,0,0,202,416,1067,2275,397,187,111,28,0,0,0,0,375,635,1087,1250,1152,586,473,169,0,0,0,0,427,606,821,618,1044,1249,398,183,0,0,0,0,389,663,968,943,1102,1272,563,342,212,152,197,116,566,1537,4466,3372,1321,759,531,427,266,242,265,282,994,1180,1540,3277,4298,2735,1343,977,535,352,216,216,919,1186,1662,2993,2457,2593,1524,685,420,511,337,304,1034,1242,2390,2013,2046,1846,1534,697,483,437,322,529,1320,1692,2188,2081,4603,6362,2331,977,940,591,804,636,1166,2015,1821,1988,2398,2940,1550,2555,1455,1123,1661,2301,3550,4834,2836,3294,2385,2534,1774,1828,1146,867,997,1017,1969,2013,2734,4949,4853,3462,2008,1731,1091,969,695,845,1750,1747,1922,3005,2557,2705,2493,1627,1273,1305,1079,1756,1908,2305,7488,7904,5591,4479,2401,1549,1634,940,791,1578,1948,2161,3828,6294,4629,4181,3075,2277,2174,1348,1559,1398,2083,2856,5648,12005,6345,5320,3181,2756,1755,1413,1629,1482,2356,3600,3658,5319,5011,5823,4307,3573,1902,1848,1289,1612,3199,3169,4543,10210,10184,7717,6049,2794,2219,2052,1646,2341,8330,10046,29740,47426,42864,18540,14160,7128,5322,5388,3846,6504,5468,6091,11935,10657,14494,20750,10192,5994,5880,3079,2671,4348,5801,7367,13550,22475,21308,29679,18780,8848,5720,9193,9621,5903,7869,12717,12802,14689,6528,5441,5466,6529,4966,6662,14153,9642,11574,11002,17156,31177,8270,7688,10896,18058,14869,17621,11285,9992,6091,,
6,ILITOTAL,9204,11356,3935,1253,826,0,0,0,0,1878,5528,4583,14019,20844,10598,2390,1154,0,0,0,0,3944,6674,15124,26346,7694,4324,2719,782,0,0,0,0,5617,8965,16858,24965,22518,8990,5564,1875,0,0,0,0,7251,9296,11553,9186,21902,19889,5921,2751,0,0,0,0,6503,11828,15098,14050,28206,24081,8016,4361,2987,1565,2095,1918,8938,33481,79351,38291,19118,10239,6927,6384,3786,2903,3830,4084,16306,19216,22279,45393,72122,42237,19415,14235,7085,5763,3855,4339,16742,20121,28611,42035,43105,39990,24325,9861,6450,7111,5396,5580,19643,24343,45153,34944,54396,39675,23849,10622,6807,6277,4940,8915,26460,34276,43350,33018,105504,105280,32083,17092,16130,9689,11280,11413,20942,36169,32843,38054,74281,79279,32699,88927,49078,25411,40487,94456,203603,221185,72711,73879,62570,52632,36335,38507,23000,17593,20873,22751,43795,48242,66876,119325,136584,76344,42541,34975,20930,19083,15043,20919,46132,44990,46761,61039,61138,63955,55172,33515,26099,26296,21377,35459,41051,52008,143750,113440,109542,91225,45993,31596,29430,18117,16362,28480,38718,51963,92158,112159,88266,77142,55227,39270,36836,21768,24736,28867,41942,69194,107061,141849,105099,88269,51612,48397,25453,19844,24929,26699,39974,61905,59838,80654,91822,105783,68070,54998,27990,25851,20989,28995,54940,57416,73594,134021,160566,111081,84497,39337,28142,25509,21697,31072,121593,155668,336492,488784,606090,229880,171704,93244,66494,61978,50666,101324,78209,96308,172858,122149,241293,279539,121890,73040,66791,35290,32725,66039,87209,128647,265147,339885,405236,402352,132641,61268,40387,72653,72320,51591,67634,103554,86730,96745,56158,57054,72632,101395,78908,98296,198867,150557,179410,174572,249421,359807,97078,117637,155964,254201,175199,167229,125930,159917,98765,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,